"",".","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]","apc_case_death[, ceiling(i/2)]","apc_case_pop[, ceiling(i/2)]"
"1",46705,93825441,47089,105862469,50919,120713356,49937,137660523,55232,153629754,62794,165629666
"2",1432,76609603,1228,86303531,1300,98397344,1364,113215148,1746,131279735,2033,148152199
"3",757,65617060,731,75136059,785,85336768,843,97219482,1055,111913803,1285,129893408
"4",2093,54935588,1335,64455344,1358,74332801,1274,84264524,1513,95946630,1923,110547010
"5",1129,45765156,1007,53709985,1180,63064287,1247,72419062,1392,81897505,1733,93101709
"6",729,38389016,755,44335327,998,52196587,1107,60856283,1205,69833931,1481,79037942
"7",693,31680286,718,36595516,967,42366064,1140,49677822,1211,57993088,1530,66908969
"8",754,25809288,820,30271239,1054,34939666,1259,40291629,1414,47399892,1808,55675362
"9",879,20334557,1020,24319479,1255,28349752,1467,32598970,1733,37891918,2303,44984430
"10",1091,16283122,1238,18810811,1503,22384491,1768,26039083,2165,30261925,2831,35618199
"11",1566,13537449,1724,14873002,2052,17143539,2519,20419927,3152,24024540,3980,28239443
"12",2072,10939911,2284,12102552,2586,13266727,3078,15371401,3905,18556022,5046,22115815
"13",2716,8857359,2972,9675383,3393,10673352,3762,11713345,4692,13711466,6298,16749815
"14",3210,6741554,3581,7455806,4050,8144976,4541,9022192,5325,10016208,7026,11874325
"15",3206,4790758,3498,5216956,4042,5789328,4394,6393718,5218,7207305,6552,8120209
"16",2878,2839339,3348,3260376,3803,3557748,4274,4019650,5076,4549994,6565,5242982
"17",2050,1391183,2471,1630875,3092,1888400,3439,2105400,4184,2443055,5442,2832557
"18",1171,553762,1378,634900,1724,736087,2073,873688,2486,1006701,3354,1202327
"19",501,158421,601,185300,719,207155,823,245127,1087,301248,1499,360033
"20",148,34716,181,41602,226,47445,244,54489,320,67092,485,85308
